model_id,downloads,cumulative_downloads,likes,created_at,last_modified,tags,sha,associated_library,model_using_spaces,paper_ids,model_card_language_roberta,readme_length,is_base_model,organization_id,paper_id,github_url
microsoft/Phi-3-mini-128k-instruct,205531,,1566,2024-04-22 16:26:23+00:00,2024-08-20 19:55:37+00:00,"['transformers', 'safetensors', 'phi3', 'text-generation', 'nlp', 'code', 'conversational', 'custom_code', 'en', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",a90b62ae09941edff87a90ced39ba5807e6b2ade,transformers,,[],en,2932,True,microsoft,,
mosaicml/mpt-7b,41070,,1157,2023-05-05 00:48:02+00:00,2024-03-05 20:23:57+00:00,"['transformers', 'pytorch', 'mpt', 'text-generation', 'Composer', 'MosaicML', 'llm-foundry', 'StreamingDatasets', 'custom_code', 'dataset:mc4', 'dataset:c4', 'dataset:togethercomputer/RedPajama-Data-1T', 'dataset:bigcode/the-stack', 'dataset:allenai/s2orc', 'arxiv:2108.12409', 'arxiv:2302.13971', 'arxiv:2205.14135', 'arxiv:2010.04245', 'arxiv:1909.08053', 'arxiv:2302.06675', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'region:us']",039e37745f00858f0e01e988383a8c4393b1a4f5,transformers,,"['2108.12409', '2302.13971', '2205.14135', '2010.04245', '1909.08053', '2302.06675']",en,1243,True,mosaicml,'www.mosaicml.com/blog/mpt-7b',
nlpaueb/legal-bert-base-uncased,55299,,152,2022-03-02 23:29:05+00:00,2022-04-28 14:42:50+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'pretraining', 'legal', 'fill-mask', 'en', 'license:cc-by-sa-4.0', 'endpoints_compatible', 'region:us']",15b570cbf88259610b082a167dacc190124f60f6,transformers,,[],en,1362,True,nlpaueb,'https://aclanthology.org/2020.findings-emnlp.261',
nvidia/Nemotron-4-340B-Instruct,144,,628,2024-06-13 17:01:37+00:00,2024-06-24 14:27:37+00:00,"['nemo', 'arxiv:2406.08673', 'license:other', 'region:us']",ac75bfbc2fb10d07fa90813707c18aebecdb9024,nemo,,['2406.08673'],en,1149,True,nvidia,,
openai/whisper-large-v3,6073368,,3381,2023-11-07 18:41:14+00:00,2024-08-12 10:20:10+00:00,"['transformers', 'pytorch', 'jax', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'arxiv:2212.04356', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",06f233fe06e710322aca913c1bc4249a0d71fce1,transformers,,['2212.04356'],en,1841,True,openai,'2212.04356',
openai-community/gpt2-xl,128427,,304,2022-03-02 23:29:04+00:00,2024-02-19 12:39:12+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'safetensors', 'gpt2', 'text-generation', 'en', 'arxiv:1910.09700', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",15ea56dee5df4983c59b2538573817e1667135e2,transformers,,['1910.09700'],en,1382,True,openai-community,'https://d4mucfpksywv.cloudfront.net/better-language-models/language_models_are_unsupervised_multitask_learners.pdf',https://github.com/openai/gpt-2
openbmb/MiniCPM-Llama3-V-2_5,81441,,1320,2024-05-19 09:02:28+00:00,2024-08-10 13:09:21+00:00,"['transformers', 'safetensors', 'minicpmv', 'feature-extraction', 'visual-question-answering', 'custom_code', 'en', 'zh', 'dataset:openbmb/RLAIF-V-Dataset', 'region:us']",ce88284a74330b80903e070ca57c6e232e5fb348,transformers,,[],en,1124,True,openbmb,'2408.01800',https://github.com/OpenBMB/MiniCPM-V
openchat/openchat_3.5,36132,,1113,2023-10-30 05:59:34+00:00,2024-05-18 18:09:11+00:00,"['transformers', 'pytorch', 'mistral', 'text-generation', 'openchat', 'C-RLFT', 'conversational', 'dataset:openchat/openchat_sharegpt4_dataset', 'dataset:imone/OpenOrca_FLAN', 'dataset:LDJnr/LessWrong-Amplify-Instruct', 'dataset:LDJnr/Pure-Dove', 'dataset:LDJnr/Verified-Camel', 'dataset:tiedong/goat', 'dataset:glaiveai/glaive-code-assistant', 'dataset:meta-math/MetaMathQA', 'dataset:OpenAssistant/oasst_top1_2023-08-25', 'dataset:TIGER-Lab/MathInstruct', 'arxiv:2309.11235', 'arxiv:2303.08774', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'text-generation-inference', 'region:us']",0fc98e324280bc4bf5d2c30ecf7b97b84fb8a19b,transformers,,"['2309.11235', '2303.08774']",en,1179,True,openchat,'2309.11235',https://github.com/imoneoi/openchat
openlm-research/open_llama_13b,2689,,455,2023-06-15 10:51:45+00:00,2023-06-16 05:47:29+00:00,"['transformers', 'pytorch', 'llama', 'text-generation', 'dataset:togethercomputer/RedPajama-Data-1T', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",b6d7fde8392250730d24cc2fcfa3b7e5f9a03ce8,transformers,,[],en,1189,True,openlm-research,,https://github.com/openlm-research/open_llama
sambanovasystems/BLOOMChat-176B-v1,721,,365,2023-05-10 21:17:39+00:00,2023-05-19 20:34:37+00:00,"['transformers', 'pytorch', 'bloom', 'text-generation', 'license:other', 'autotrain_compatible', 'text-generation-inference', 'region:us']",cdae1b2e0af1778258306106522a3dda6abb0276,transformers,,[],en,1422,True,sambanovasystems,,https://github.com/sambanova/bloomchat
stabilityai/stable-diffusion-2-1,951296,,3829,2022-12-06 17:24:51+00:00,2023-07-05 16:19:17+00:00,"['diffusers', 'safetensors', 'stable-diffusion', 'text-to-image', 'arxiv:2112.10752', 'arxiv:2202.00512', 'arxiv:1910.09700', 'license:openrail++', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",5cae40e6a2745ae2b01ad92ae5043f95f23644d6,diffusers,,"['2112.10752', '2202.00512', '1910.09700']",en,1507,True,stabilityai,'2112.10752',https://github.com/Stability-AI/
stanford-crfm/BioMedLM,3287,,389,2022-12-14 08:14:59+00:00,2024-03-28 13:57:14+00:00,"['transformers', 'pytorch', 'gpt2', 'text-generation', 'dataset:pubmed', 'arxiv:2403.18421', 'license:bigscience-bloom-rail-1.0', 'autotrain_compatible', 'endpoints_compatible', 'text-generation-inference', 'region:us']",3e1a0abb814b8398bc34b4b6680ecf2c26d6a66f,transformers,,['2403.18421'],en,1349,True,stanford-crfm,'2403.18421',
tiiuae/falcon-mamba-7b,7172,,188,2024-07-17 07:06:26+00:00,2024-09-09 10:11:17+00:00,"['transformers', 'safetensors', 'falcon_mamba', 'text-generation', 'en', 'dataset:tiiuae/falcon-refinedweb', 'dataset:HuggingFaceFW/fineweb-edu', 'arxiv:2312.00752', 'license:other', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",6ddf4e26697ea3abc95f6582257442c71e871c65,transformers,,['2312.00752'],en,1302,True,tiiuae,'2410.05355,
